timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-02-27T23:23:05.103Z,llama-3.2-3b-instruct,What are lists in Python,417,20,437,442,987.83,0.5,Intel(R) Xeon(R) w9-3595X,64,0.87,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:25:19.882Z,llama-3.2-3b-instruct,Hello!,156,25,181,412,439.55,0.5,Intel(R) Xeon(R) w9-3595X,64,0.94,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:26:29.668Z,llama-3.2-3b-instruct,Hello,155,25,180,551,326.51,0.5,Intel(R) Xeon(R) w9-3595X,64,1.24,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:26:49.679Z,llama-3.2-3b-instruct,Hello,151,1,152,264,575.73,0.5,Intel(R) Xeon(R) w9-3595X,64,0,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:26:56.451Z,llama-3.2-3b-instruct,What are lists in Python?,496,24,520,417,1245.75,0.5,Intel(R) Xeon(R) w9-3595X,64,0.98,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:27:51.304Z,llama-3.2-3b-instruct,Hello,151,1,152,236,643.67,0.5,Intel(R) Xeon(R) w9-3595X,64,0,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:27:53.664Z,llama-3.2-3b-instruct,Hello!,152,2,154,66,2337.95,0.5,Intel(R) Xeon(R) w9-3595X,64,1.02,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:28:00.067Z,llama-3.2-3b-instruct,What are lists in Python?,495,29,524,493,1062.87,0.5,Intel(R) Xeon(R) w9-3595X,64,1.27,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:28:17.888Z,llama-3.2-3b-instruct,How do you define a dictionary in Python?,486,35,521,450,1157.57,0.5,Intel(R) Xeon(R) w9-3595X,64,0.89,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:29:35.788Z,llama-3.2-3b-instruct,Hello,151,25,176,455,386.57,0.5,Intel(R) Xeon(R) w9-3595X,64,0,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:29:42.621Z,llama-3.2-3b-instruct,Hello,151,29,180,397,452.87,0.5,Intel(R) Xeon(R) w9-3595X,64,1.03,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:29:45.264Z,llama-3.2-3b-instruct,Hello!,152,26,178,267,665.79,0.5,Intel(R) Xeon(R) w9-3595X,64,1.74,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:30:27.983Z,llama-3.2-3b-instruct,Hello,151,25,176,405,434.31,0.5,Intel(R) Xeon(R) w9-3595X,64,1.96,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:30:30.817Z,llama-3.2-3b-instruct,Hello,151,1,152,55,2783.32,0.5,Intel(R) Xeon(R) w9-3595X,64,2.62,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:30:35.451Z,llama-3.2-3b-instruct,Hello,151,1,152,218,697.86,0.5,Intel(R) Xeon(R) w9-3595X,64,1.02,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:30:39.469Z,llama-3.2-3b-instruct,Hello,151,1,152,111,1371.8,0.5,Intel(R) Xeon(R) w9-3595X,64,1.14,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:30:45.209Z,llama-3.2-3b-instruct,Hello,151,1,152,215,705.38,0.5,Intel(R) Xeon(R) w9-3595X,64,1.01,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:30:49.341Z,llama-3.2-3b-instruct,What are tuples in Python,155,25,180,305,590.72,0.5,Intel(R) Xeon(R) w9-3595X,64,1.62,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:33:11.612Z,llama-3.2-3b-instruct,Hello,151,1,152,215,706.15,0.5,Intel(R) Xeon(R) w9-3595X,56,0,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:33:32.002Z,llama-3.2-3b-instruct,Hello,151,1,152,216,703.23,0.5,Intel(R) Xeon(R) w9-3595X,56,0.88,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:33:37.525Z,llama-3.2-3b-instruct,What are tuples in Python,155,25,180,503,357.72,0.5,Intel(R) Xeon(R) w9-3595X,56,2.22,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:34:03.901Z,llama-3.2-3b-instruct,What are tuples in Python,403,24,427,437,978.14,0.5,Intel(R) Xeon(R) w9-3595X,56,0,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:41:14.329Z,llama-3.2-3b-instruct,Hello,171,9,180,480,375.04,0.5,Intel(R) Xeon(R) w9-3595X,56,0,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
